Classification,x,density
Linear amplification,4.693467,0.05865024
Linear amplification,4.939698,0.05198174
Linear amplification,5.18593,0.04635121
Linear amplification,5.432161,0.04158371
Linear amplification,5.678392,0.03750912
Linear amplification,5.924623,0.03397249
Linear amplification,6.170854,0.03084409
Linear amplification,6.417085,0.02802652
Linear amplification,6.663317,0.02545711
Linear amplification,6.909548,0.02310488
Linear amplification,7.155779,0.02096264
Linear amplification,7.40201,0.01903524
Linear amplification,7.648241,0.0173264
Linear amplification,7.894472,0.01582698
Linear amplification,8.140704,0.0145083
Linear amplification,8.386935,0.01332314
Linear amplification,8.633166,0.01221522
Linear amplification,8.879397,0.01113408
Linear amplification,9.125628,0.01004984
Linear amplification,9.371859,0.00896154
Linear amplification,9.61809,0.00789508
Linear amplification,9.864322,0.00689146
Linear amplification,10.110553,0.00599032
Linear amplification,10.356784,0.00521579
Linear amplification,10.603015,0.00457008
Linear amplification,10.849246,0.00403633
Linear amplification,11.095477,0.00358797
Linear amplification,11.341709,0.00319954
Linear amplification,11.58794,0.0028542
Linear amplification,11.834171,0.00254586
Linear amplification,12.080402,0.00227635
Linear amplification,12.326633,0.00205038
Linear amplification,12.572864,0.0018708
Linear amplification,12.819095,0.00173604
Linear amplification,13.065327,0.00163993
Linear amplification,13.311558,0.00157307
Linear amplification,13.557789,0.00152483
Linear amplification,13.80402,0.00148522
Linear amplification,14.050251,0.00144639
Linear amplification,14.296482,0.00140401
Linear amplification,14.542714,0.00135854
Linear amplification,14.788945,0.00131606
Linear amplification,15.035176,0.00128801
Linear amplification,15.281407,0.001289
Linear amplification,15.527638,0.00133239
Linear amplification,15.773869,0.00142441
Linear amplification,16.020101,0.00155906
Linear amplification,16.266332,0.0017162
Linear amplification,16.512563,0.00186473
Linear amplification,16.758794,0.00197077
Linear amplification,17.005025,0.00200817
Linear amplification,17.251256,0.0019673
Linear amplification,17.497487,0.00185828
Linear amplification,17.743719,0.0017073
Linear amplification,17.98995,0.00154751
Linear amplification,18.236181,0.00140831
Linear amplification,18.482412,0.00130714
Linear amplification,18.728643,0.00124646
Linear amplification,18.974874,0.00121601
Linear amplification,19.221106,0.00119867
Linear amplification,19.467337,0.00117725
Linear amplification,19.713568,0.00114
Linear amplification,19.959799,0.00108346
Linear amplification,20.20603,0.00101231
Linear amplification,20.452261,0.00093677
Linear amplification,20.698492,0.00086841
Linear amplification,20.944724,0.00081568
Linear amplification,21.190955,0.00078079
Linear amplification,21.437186,0.00075884
Linear amplification,21.683417,0.00073986
Linear amplification,21.929648,0.00071271
Linear amplification,22.175879,0.00066964
Linear amplification,22.422111,0.00060948
Linear amplification,22.668342,0.00053844
Linear amplification,22.914573,0.00046831
Linear amplification,23.160804,0.00041287
Linear amplification,23.407035,0.0003837
Linear amplification,23.653266,0.00038675
Linear amplification,23.899497,0.00042045
Linear amplification,24.145729,0.00047572
Linear amplification,24.39196,0.00053796
Linear amplification,24.638191,0.00059047
Linear amplification,24.884422,0.00061853
Linear amplification,25.130653,0.00061305
Linear amplification,25.376884,0.00057247
Linear amplification,25.623116,0.00050267
Linear amplification,25.869347,0.00041464
Linear amplification,26.115578,0.00032117
Linear amplification,26.361809,0.00023355
Linear amplification,26.60804,0.00015943
Linear amplification,26.854271,0.00010216
Linear amplification,27.100503,6.145e-05
Linear amplification,27.346734,3.47e-05
Linear amplification,27.592965,1.839e-05
Linear amplification,27.839196,9.15e-06
Linear amplification,28.085427,4.27e-06
Linear amplification,28.331658,1.87e-06
Linear amplification,28.577889,7.7e-07
Linear amplification,28.824121,3e-07
Linear amplification,29.070352,1.1e-07
Linear amplification,29.316583,4e-08
Linear amplification,29.562814,1e-08
Linear amplification,29.809045,0.0
Linear amplification,30.055276,0.0
Linear amplification,30.301508,0.0
Linear amplification,30.547739,0.0
Linear amplification,30.79397,0.0
Linear amplification,31.040201,0.0
Linear amplification,31.286432,0.0
Linear amplification,31.532663,0.0
Linear amplification,31.778894,0.0
Linear amplification,32.025126,0.0
Linear amplification,32.271357,0.0
Linear amplification,32.517588,0.0
Linear amplification,32.763819,0.0
Linear amplification,33.01005,0.0
Linear amplification,33.256281,0.0
Linear amplification,33.502513,2e-08
Linear amplification,33.748744,5e-08
Linear amplification,33.994975,1.4e-07
Linear amplification,34.241206,3.9e-07
Linear amplification,34.487437,9.8e-07
Linear amplification,34.733668,2.34e-06
Linear amplification,34.979899,5.26e-06
Linear amplification,35.226131,1.108e-05
Linear amplification,35.472362,2.19e-05
Linear amplification,35.718593,4.063e-05
Linear amplification,35.964824,7.076e-05
Linear amplification,36.211055,0.00011567
Linear amplification,36.457286,0.00017751
Linear amplification,36.703518,0.00025568
Linear amplification,36.949749,0.00034569
Linear amplification,37.19598,0.00043873
Linear amplification,37.442211,0.00052265
Linear amplification,37.688442,0.00058444
Linear amplification,37.934673,0.00061344
Linear amplification,38.180905,0.0006044
Linear amplification,38.427136,0.00055896
Linear amplification,38.673367,0.00048524
Linear amplification,38.919598,0.0003954
Linear amplification,39.165829,0.00030243
Linear amplification,39.41206,0.00021713
Linear amplification,39.658291,0.00014633
Linear amplification,39.904523,9.257e-05
Linear amplification,40.150754,5.497e-05
Linear amplification,40.396985,3.064e-05
Linear amplification,40.643216,1.603e-05
Linear amplification,40.889447,7.87e-06
Linear amplification,41.135678,3.63e-06
Linear amplification,41.38191,1.57e-06
Linear amplification,41.628141,6.4e-07
Linear amplification,41.874372,2.4e-07
Linear amplification,42.120603,9e-08
Linear amplification,42.366834,3e-08
Linear amplification,42.613065,1e-08
Linear amplification,42.859296,0.0
Linear amplification,43.105528,0.0
Linear amplification,43.351759,0.0
Linear amplification,43.59799,0.0
Linear amplification,43.844221,0.0
Linear amplification,44.090452,0.0
Linear amplification,44.336683,0.0
Linear amplification,44.582915,0.0
Linear amplification,44.829146,0.0
Linear amplification,45.075377,0.0
Linear amplification,45.321608,1e-08
Linear amplification,45.567839,2e-08
Linear amplification,45.81407,7e-08
Linear amplification,46.060302,1.9e-07
Linear amplification,46.306533,5e-07
Linear amplification,46.552764,1.24e-06
Linear amplification,46.798995,2.92e-06
Linear amplification,47.045226,6.45e-06
Linear amplification,47.291457,1.336e-05
Linear amplification,47.537688,2.596e-05
Linear amplification,47.78392,4.736e-05
Linear amplification,48.030151,8.111e-05
Linear amplification,48.276382,0.00013039
Linear amplification,48.522613,0.00019676
Linear amplification,48.768844,0.00027869
Linear amplification,49.015075,0.00037053
Linear amplification,49.261307,0.00046242
Linear amplification,49.507538,0.00054171
Linear amplification,49.753769,0.00059566
Linear amplification,50.0,0.00061481
ecDNA,1.0,1.02677634
ecDNA,1.045226,1.01352846
ecDNA,1.090452,0.97440775
ecDNA,1.135678,0.91260775
ecDNA,1.180905,0.83298069
ecDNA,1.226131,0.74147274
ecDNA,1.271357,0.64447039
ecDNA,1.316583,0.54816015
ecDNA,1.361809,0.45798869
ecDNA,1.407035,0.37828097
ecDNA,1.452261,0.31203712
ecDNA,1.497487,0.26089519
ecDNA,1.542714,0.22522334
ecDNA,1.58794,0.20429513
ecDNA,1.633166,0.19650453
ecDNA,1.678392,0.19958926
ecDNA,1.723618,0.21084597
ecDNA,1.768844,0.22733396
ecDNA,1.81407,0.24607056
ecDNA,1.859296,0.26422164
ecDNA,1.904523,0.27928477
ecDNA,1.949749,0.28925508
ecDNA,1.994975,0.29275715
ecDNA,2.040201,0.28912462
ecDNA,2.085427,0.27841312
ecDNA,2.130653,0.26134105
ecDNA,2.175879,0.23916453
ecDNA,2.221106,0.21350418
ecDNA,2.266332,0.18614894
ecDNA,2.311558,0.15886455
ecDNA,2.356784,0.1332309
ecDNA,2.40201,0.11052436
ecDNA,2.447236,0.09165138
ecDNA,2.492462,0.07713018
ecDNA,2.537688,0.0671105
ecDNA,2.582915,0.06141833
ecDNA,2.628141,0.05961362
ecDNA,2.673367,0.06105178
ecDNA,2.718593,0.06494444
ecDNA,2.763819,0.07041858
ecDNA,2.809045,0.07657491
ecDNA,2.854271,0.08254647
ecDNA,2.899497,0.0875564
ecDNA,2.944724,0.09097159
ecDNA,2.98995,0.09234658
ecDNA,3.035176,0.09145148
ecDNA,3.080402,0.08827908
ecDNA,3.125628,0.08302879
ecDNA,3.170854,0.07606901
ecDNA,3.21608,0.06788341
ecDNA,3.261307,0.059009
ecDNA,3.306533,0.04997518
ecDNA,3.351759,0.04125197
ecDNA,3.396985,0.03321329
ecDNA,3.442211,0.02611781
ecDNA,3.487437,0.02010697
ecDNA,3.532663,0.01521663
ecDNA,3.577889,0.01139795
ecDNA,3.623116,0.00854219
ecDNA,3.668342,0.0065053
ecDNA,3.713568,0.00512922
ecDNA,3.758794,0.00425814
ecDNA,3.80402,0.00374971
ecDNA,3.849246,0.00348145
ecDNA,3.894472,0.00335371
ecDNA,3.939698,0.00329001
ecDNA,3.984925,0.00323596
ecDNA,4.030151,0.00315716
ecDNA,4.075377,0.00303665
ecDNA,4.120603,0.00287218
ecDNA,4.165829,0.00267322
ecDNA,4.211055,0.00245804
ecDNA,4.256281,0.00225084
ecDNA,4.301508,0.00207907
ecDNA,4.346734,0.001971
ecDNA,4.39196,0.00195346
ecDNA,4.437186,0.00204982
ecDNA,4.482412,0.00227795
ecDNA,4.527638,0.00264828
ecDNA,4.572864,0.00316185
ecDNA,4.61809,0.0038087
ecDNA,4.663317,0.00456677
ecDNA,4.708543,0.00540174
ecDNA,4.753769,0.00626832
ecDNA,4.798995,0.00711299
ecDNA,4.844221,0.00787832
ecDNA,4.889447,0.00850848
ecDNA,4.934673,0.00895517
ecDNA,4.979899,0.00918334
ecDNA,5.025126,0.00917552
ecDNA,5.070352,0.00893431
ecDNA,5.115578,0.00848242
ecDNA,5.160804,0.00786041
ecDNA,5.20603,0.00712244
ecDNA,5.251256,0.00633083
ecDNA,5.296482,0.00555023
ecDNA,5.341709,0.00484217
ecDNA,5.386935,0.00426049
ecDNA,5.432161,0.00384797
ecDNA,5.477387,0.00363419
ecDNA,5.522613,0.00363419
ecDNA,5.567839,0.00384797
ecDNA,5.613065,0.00426049
ecDNA,5.658291,0.00484217
ecDNA,5.703518,0.00555023
ecDNA,5.748744,0.00633083
ecDNA,5.79397,0.00712244
ecDNA,5.839196,0.00786041
ecDNA,5.884422,0.00848242
ecDNA,5.929648,0.00893431
ecDNA,5.974874,0.00917552
ecDNA,6.020101,0.00918334
ecDNA,6.065327,0.00895517
ecDNA,6.110553,0.00850848
ecDNA,6.155779,0.00787832
ecDNA,6.201005,0.00711299
ecDNA,6.246231,0.00626832
ecDNA,6.291457,0.00540174
ecDNA,6.336683,0.00456677
ecDNA,6.38191,0.0038087
ecDNA,6.427136,0.00316184
ecDNA,6.472362,0.00264825
ecDNA,6.517588,0.0022779
ecDNA,6.562814,0.00204969
ecDNA,6.60804,0.00195317
ecDNA,6.653266,0.00197034
ecDNA,6.698492,0.00207764
ecDNA,6.743719,0.00224779
ecDNA,6.788945,0.00245174
ecDNA,6.834171,0.00266052
ecDNA,6.879397,0.00284728
ecDNA,6.924623,0.0029891
ecDNA,6.969849,0.00306874
ecDNA,7.015075,0.00307588
ecDNA,7.060302,0.0030078
ecDNA,7.105528,0.00286925
ecDNA,7.150754,0.00267171
ecDNA,7.19598,0.00243185
ecDNA,7.241206,0.00216971
ecDNA,7.286432,0.00190667
ecDNA,7.331658,0.00166353
ecDNA,7.376884,0.00145885
ecDNA,7.422111,0.00130778
ecDNA,7.467337,0.00122118
ecDNA,7.512563,0.00120516
ecDNA,7.557789,0.00126084
ecDNA,7.603015,0.00138431
ecDNA,7.648241,0.00156676
ecDNA,7.693467,0.00179484
ecDNA,7.738693,0.00205135
ecDNA,7.78392,0.00231623
ecDNA,7.829146,0.00256797
ecDNA,7.874372,0.00278546
ecDNA,7.919598,0.0029498
ecDNA,7.964824,0.00304625
ecDNA,8.01005,0.00306568
ecDNA,8.055276,0.00300551
ecDNA,8.100503,0.00286977
ecDNA,8.145729,0.0026685
ecDNA,8.190955,0.00241628
ecDNA,8.236181,0.00213047
ecDNA,8.281407,0.00182911
ecDNA,8.326633,0.00152911
ecDNA,8.371859,0.00124471
ecDNA,8.417085,0.00098656
ecDNA,8.462312,0.0007614
ecDNA,8.507538,0.00057217
ecDNA,8.552764,0.00041867
ecDNA,8.59799,0.0002983
ecDNA,8.643216,0.00020695
ecDNA,8.688442,0.00013982
ecDNA,8.733668,9.203e-05
ecDNA,8.778894,5.907e-05
ecDNA,8.824121,3.709e-05
ecDNA,8.869347,2.304e-05
ecDNA,8.914573,1.461e-05
ecDNA,8.959799,1.025e-05
ecDNA,9.005025,9.1e-06
ecDNA,9.050251,1.092e-05
ecDNA,9.095477,1.608e-05
ecDNA,9.140704,2.561e-05
ecDNA,9.18593,4.12e-05
ecDNA,9.231156,6.532e-05
ecDNA,9.276382,0.00010122
ecDNA,9.321608,0.0001529
ecDNA,9.366834,0.00022498
ecDNA,9.41206,0.00032238
ecDNA,9.457286,0.0004498
ecDNA,9.502513,0.00061108
ecDNA,9.547739,0.00080837
ecDNA,9.592965,0.00104125
ecDNA,9.638191,0.00130593
ecDNA,9.683417,0.00159484
ecDNA,9.728643,0.00189644
ecDNA,9.773869,0.00219578
ecDNA,9.819095,0.00247552
ecDNA,9.864322,0.00271751
ecDNA,9.909548,0.00290471
ecDNA,9.954774,0.00302317
ecDNA,10.0,0.00306372
