Sample name,BFB,Complex non-cyclic,Linear amplification,ecDNA
TCGA-02-2483-01A-01D-1494-08_MN_10A-01D-1494,0.0,1.0,1.0,1.0
TCGA-02-2485-01A-01D-1494-08_MN_10A-01D-1494,0.0,1.0,0.0,3.0
TCGA-04-1347-01A-01D-A324-10_MN_11A-01D-A324,0.0,0.0,6.0,1.0
TCGA-04-1349-01A-01D-A324-10_MN_11A-01D-A324,0.0,2.0,0.0,0.0
TCGA-04-1371-01A-01D-0516-08_MN_11A-01D-0516,0.0,2.0,1.0,1.0
TCGA-04-1514-01A-01D-A324-10_MN_10A-01D-A324,2.0,0.0,3.0,0.0
TCGA-04-1542-01A-01D-A312-08_MN_10A-01D-A312,0.0,0.0,4.0,0.0
TCGA-05-4250-01A-01D-1103-02_MN_10A-01D-1103,1.0,1.0,2.0,0.0
TCGA-05-4384-01A-01D-1751-02_MN_10A-01D-1751,1.0,0.0,0.0,0.0
TCGA-05-4389-01A-01D-1931-08_MN_10A-01D-1203,0.0,0.0,1.0,0.0
TCGA-05-4389-01A-01D-1931-08_MN_10A-01D-1931,0.0,0.0,1.0,0.0
TCGA-05-4390-01A-02D-1751-02_MN_10A-01D-1751,1.0,1.0,0.0,0.0
TCGA-05-4395-01A-01D-1203-02_MN_10A-01D-1203,1.0,0.0,0.0,0.0
TCGA-05-4395-01A-01D-1203-02_MN_10A-01D-2364,1.0,0.0,0.0,0.0
TCGA-05-4395-01A-01D-2364-08_MN_10A-01D-1203,0.0,1.0,0.0,0.0
TCGA-05-4395-01A-01D-2364-08_MN_10A-01D-2364,0.0,1.0,0.0,0.0
TCGA-05-4396-01A-21D-1853-02_MN_10A-01D-1853,2.0,0.0,1.0,0.0
TCGA-05-4396-01A-21D-1853-02_MN_10A-01D-1855,2.0,0.0,4.0,0.0
TCGA-05-4396-01A-21D-1855-08_MN_10A-01D-1853,2.0,0.0,2.0,0.0
TCGA-05-4396-01A-21D-1855-08_MN_10A-01D-1855,2.0,1.0,4.0,0.0
TCGA-05-4397-01A-01D-1931-08_MN_10A-01D-1931,0.0,0.0,1.0,0.0
TCGA-05-4398-01A-01D-1931-08_MN_10A-01D-1203,0.0,0.0,1.0,0.0
TCGA-05-4398-01A-01D-1931-08_MN_10A-01D-1931,0.0,0.0,1.0,0.0
TCGA-05-4402-01A-01D-1203-02_MN_10A-01D-1203,0.0,1.0,2.0,0.0
TCGA-05-4405-01A-21D-1853-02_MN_10A-01D-1853,0.0,2.0,0.0,0.0
TCGA-05-4417-01A-22D-1853-02_MN_10A-01D-1853,0.0,0.0,1.0,0.0
TCGA-05-4420-01A-01D-1203-02_MN_10A-01D-1203,2.0,0.0,0.0,0.0
TCGA-05-4422-01A-01D-1931-08_MN_10A-01D-1203,0.0,2.0,3.0,0.0
TCGA-05-4422-01A-01D-1931-08_MN_10A-01D-1931,0.0,1.0,6.0,0.0
TCGA-05-4426-01A-01D-1203-02_MN_10A-01D-1203,0.0,0.0,1.0,0.0
TCGA-05-4432-01A-01D-1203-02_MN_10A-01D-1203,0.0,0.0,0.0,1.0
TCGA-05-4432-01A-01D-1203-02_MN_10A-01D-1931,0.0,1.0,0.0,0.0
TCGA-05-4432-01A-01D-1931-08_MN_10A-01D-1203,0.0,0.0,1.0,0.0
TCGA-05-4432-01A-01D-1931-08_MN_10A-01D-1931,0.0,0.0,1.0,0.0
TCGA-05-4433-01A-22D-1853-02_MN_10A-01D-1853,0.0,1.0,0.0,0.0
TCGA-05-4434-01A-01D-1203-02_MN_10A-01D-1203,0.0,0.0,1.0,0.0
TCGA-06-0124-01A-01D-0375-09_MN_10A-01D-0375,0.0,0.0,1.0,0.0
TCGA-06-0125-01A-01D-1490-08_MN_10A-01D-1490,0.0,0.0,0.0,1.0
TCGA-06-0125-02A-11D-2280-08_MN_10A-01D-1490,0.0,0.0,0.0,1.0
TCGA-06-0128-01A-01D-0572-09_MN_10A-01D-0572,0.0,0.0,0.0,1.0
TCGA-06-0145-01A-01D-0507-08_MN_10A-01D-0507,0.0,0.0,0.0,2.0
TCGA-06-0152-01A-02D-0507-08_MN_10A-01D-0507,0.0,0.0,0.0,1.0
TCGA-06-0152-02A-01D-2280-08_MN_10A-01D-0507,0.0,0.0,0.0,1.0
TCGA-06-0155-01B-01D-0932-09_MN_10A-01D-0703,0.0,0.0,0.0,2.0
TCGA-06-0157-01A-01D-1491-08_MN_10A-01D-1491,0.0,0.0,0.0,2.0
TCGA-06-0185-01A-01D-0507-08_MN_10B-01D-0507,0.0,0.0,0.0,1.0
TCGA-06-0190-02A-01D-2280-08_MN_10B-01D-A32W,0.0,0.0,0.0,1.0
TCGA-06-0208-01A-01D-0512-09_MN_10A-01D-0512,0.0,0.0,0.0,1.0
TCGA-06-0210-01A-01D-1491-08_MN_10A-01D-1491,0.0,0.0,1.0,2.0
TCGA-06-0210-02A-01D-2280-08_MN_10A-01D-1491,0.0,0.0,0.0,1.0
TCGA-06-0211-01A-01D-1491-08_MN_10A-01D-1491,0.0,0.0,0.0,2.0
TCGA-06-0211-02A-02D-2280-08_MN_10A-01D-1491,0.0,1.0,0.0,1.0
TCGA-06-0214-01A-02D-0512-09_MN_10A-01D-0512,0.0,0.0,0.0,3.0
TCGA-06-0214-01A-02D-1491-08_MN_10A-01D-1491,0.0,0.0,0.0,3.0
TCGA-06-0221-01A-01D-A32W-08_MN_10A-01D-A35R,0.0,3.0,2.0,1.0
TCGA-06-0221-02A-11D-2280-08_MN_10A-01D-A35R,0.0,1.0,0.0,0.0
TCGA-06-0648-01A-01D-0507-08_MN_10A-01D-0507,0.0,1.0,0.0,0.0
TCGA-06-0686-01A-01D-1492-08_MN_10A-01D-1492,0.0,0.0,0.0,1.0
TCGA-06-0744-01A-01D-1492-08_MN_10A-01D-1492,0.0,1.0,3.0,1.0
TCGA-06-0745-01A-01D-1492-08_MN_10A-01D-1492,0.0,0.0,0.0,1.0
TCGA-06-0877-01A-01D-0512-09_MN_10A-01D-0512,0.0,0.0,0.0,1.0
TCGA-06-0881-01A-02D-0512-09_MN_10A-01D-0512,0.0,0.0,0.0,1.0
TCGA-06-2557-01A-01D-1494-08_MN_10A-01D-1494,0.0,1.0,3.0,0.0
TCGA-06-2570-01A-01D-1495-08_MN_10A-01D-1495,0.0,0.0,0.0,1.0
TCGA-06-5411-01A-01D-1696-08_MN_10A-01D-1696,0.0,0.0,0.0,1.0
TCGA-06-5415-01A-01D-1486-08_MN_10A-01D-1486,0.0,0.0,0.0,2.0
TCGA-09-2045-01A-01D-A324-10_MN_11A-01D-A324,0.0,0.0,1.0,1.0
TCGA-09-2050-01A-01D-A312-08_MN_10A-01D-A312,0.0,0.0,1.0,0.0
TCGA-10-0934-01A-02D-A312-08_MN_11A-01D-A312,0.0,0.0,2.0,0.0
TCGA-10-0937-01A-02D-A324-10_MN_11A-01D-A324,0.0,0.0,1.0,0.0
TCGA-10-0938-01A-02D-A312-08_MN_11A-01D-A312,1.0,0.0,4.0,1.0
TCGA-13-0723-01A-02D-0447-09_MN_10B-01D-0447,2.0,2.0,2.0,1.0
TCGA-13-0727-01A-01D-A312-08_MN_10B-01D-A312,0.0,0.0,1.0,0.0
TCGA-13-0751-01A-01D-0446-08_MN_10A-01D-0446,0.0,0.0,6.0,1.0
TCGA-13-0890-01A-01D-0447-09_MN_10A-01D-0447,0.0,0.0,1.0,0.0
TCGA-13-0912-01A-01D-A312-08_MN_10A-01D-A312,2.0,0.0,1.0,0.0
TCGA-13-1411-01A-01D-0515-09_MN_10A-01D-0515,0.0,0.0,3.0,0.0
TCGA-13-1487-01A-01D-A312-08_MN_10A-01D-A312,0.0,0.0,3.0,0.0
TCGA-13-1491-01A-01D-A312-08_MN_10A-01D-A312,2.0,0.0,2.0,0.0
TCGA-14-0786-01B-01D-0703-09_MN_10A-01D-0703,0.0,0.0,1.0,0.0
TCGA-14-1402-01A-01D-1493-08_MN_10A-01D-1493,0.0,0.0,4.0,1.0
TCGA-14-1402-02A-01D-2280-08_MN_10A-01D-1493,0.0,0.0,0.0,1.0
TCGA-14-1459-01A-01D-0932-09_MN_10A-01D-0703,1.0,0.0,0.0,2.0
TCGA-14-1823-01A-01D-1494-08_MN_10A-01D-1494,0.0,1.0,2.0,0.0
TCGA-14-2554-01A-01D-1494-08_MN_10A-01D-1494,0.0,0.0,1.0,1.0
TCGA-16-1063-01B-01D-0932-09_MN_10A-01D-0703,0.0,0.0,0.0,2.0
TCGA-18-3408-01A-01D-A320-08_MN_11A-01D-A320,2.0,0.0,0.0,0.0
TCGA-18-3415-01A-01D-A320-08_MN_11A-01D-A320,0.0,0.0,0.0,2.0
TCGA-18-4721-01A-01D-1441-08_MN_11A-01D-1441,0.0,0.0,3.0,0.0
TCGA-19-2620-01A-01D-1495-08_MN_10A-01D-1495,0.0,0.0,0.0,1.0
TCGA-19-2624-01A-01D-1495-08_MN_10A-01D-1495,0.0,0.0,0.0,1.0
TCGA-19-5960-01A-11D-1696-08_MN_10A-01D-1696,0.0,1.0,0.0,3.0
TCGA-21-5782-01A-01D-1632-08_MN_10A-01D-1632,2.0,0.0,0.0,0.0
TCGA-22-1016-01A-01D-1521-08_MN_11A-01D-1521,0.0,0.0,3.0,0.0
TCGA-22-5477-01A-01D-1632-08_MN_11A-11D-1632,1.0,0.0,2.0,1.0
TCGA-22-5492-01A-01D-1632-08_MN_11A-01D-1632,1.0,0.0,2.0,0.0
TCGA-23-1110-01A-01D-A324-10_MN_10A-01D-A324,0.0,0.0,2.0,0.0
TCGA-23-1118-01A-01D-A312-08_MN_10A-01D-A312,0.0,0.0,0.0,1.0
TCGA-23-1124-01A-01D-A312-08_MN_10A-01D-A312,0.0,0.0,5.0,0.0
TCGA-24-0980-01A-01D-0515-09_MN_10A-01D-0515,0.0,0.0,3.0,0.0
TCGA-24-0982-01A-01D-0516-08_MN_10C-01D-0516,0.0,0.0,7.0,0.0
TCGA-24-1103-01A-01D-0515-09_MN_10A-01D-0515,0.0,0.0,4.0,0.0
TCGA-24-1419-01A-01D-A324-10_MN_10A-01D-A324,0.0,0.0,1.0,2.0
TCGA-24-1466-01A-01D-A312-08_MN_10A-01D-A312,0.0,0.0,17.0,5.0
TCGA-24-1544-01A-01D-A312-08_MN_10A-01D-A312,1.0,2.0,2.0,0.0
TCGA-24-1548-01A-01D-A324-10_MN_10A-01D-A324,0.0,0.0,2.0,0.0
TCGA-24-1552-01A-01D-A324-10_MN_10A-01D-A324,1.0,1.0,10.0,1.0
TCGA-24-1557-01A-01D-A312-08_MN_10A-01D-A312,0.0,0.0,4.0,1.0
TCGA-24-1558-01A-01D-A324-10_MN_10A-01D-A324,0.0,0.0,2.0,1.0
TCGA-24-1562-01A-01D-A312-08_MN_10A-01D-A312,0.0,0.0,1.0,2.0
TCGA-24-1614-01A-01D-A312-08_MN_10A-01D-A312,0.0,0.0,1.0,1.0
TCGA-25-1319-01A-01D-0516-08_MN_10A-01D-0516,0.0,0.0,3.0,2.0
TCGA-25-1632-01A-01D-A312-08_MN_10A-01D-A312,0.0,0.0,1.0,1.0
TCGA-25-1634-01A-01D-A312-08_MN_10A-01D-A312,0.0,1.0,2.0,0.0
TCGA-25-2400-01A-01D-A312-08_MN_10A-01D-A312,0.0,1.0,12.0,1.0
TCGA-26-1438-01A-01D-0932-09_MN_10A-01D-0703,0.0,0.0,0.0,1.0
TCGA-26-5132-01A-01D-1486-08_MN_10A-01D-1486,0.0,2.0,2.0,2.0
TCGA-26-5135-01A-01D-1486-08_MN_10A-01D-1486,0.0,0.0,0.0,1.0
TCGA-27-1831-01A-01D-1494-08_MN_10A-01D-1494,0.0,0.0,1.0,0.0
TCGA-27-2523-01A-01D-1494-08_MN_10A-01D-1494,0.0,0.0,0.0,1.0
TCGA-27-2528-01A-01D-1494-08_MN_10A-01D-1494,0.0,1.0,1.0,0.0
TCGA-32-1970-01A-01D-1494-08_MN_10A-01D-1494,0.0,0.0,1.0,1.0
TCGA-33-4586-01A-01D-A320-08_MN_11A-01D-A320,1.0,0.0,1.0,0.0
TCGA-34-2600-01A-01D-0963-08_MN_11A-01D-0963,0.0,0.0,6.0,0.0
TCGA-34-5240-01A-01D-1441-08_MN_10A-01D-1441,0.0,0.0,1.0,0.0
TCGA-36-1570-01A-01D-A324-10_MN_10A-01D-A324,0.0,0.0,0.0,1.0
TCGA-36-1571-01A-01D-A324-10_MN_10A-01D-A324,2.0,2.0,1.0,1.0
TCGA-36-1574-01A-01D-A324-10_MN_10A-01D-A324,0.0,0.0,1.0,1.0
TCGA-37-4135-01A-01D-A320-08_MN_10A-01D-A320,2.0,3.0,8.0,1.0
TCGA-38-4628-01A-01D-1203-02_MN_11A-01D-1203,0.0,1.0,0.0,0.0
TCGA-38-4628-01A-01D-1203-02_MN_11A-01D-1931,0.0,1.0,4.0,0.0
TCGA-38-4628-01A-01D-1931-08_MN_11A-01D-1203,1.0,0.0,0.0,0.0
TCGA-38-4628-01A-01D-1931-08_MN_11A-01D-1931,1.0,0.0,1.0,0.0
TCGA-38-4630-01A-01D-2364-08_MN_11A-01D-2364,2.0,1.0,9.0,8.0
TCGA-38-4631-01A-01D-1751-02_MN_11A-01D-1751,3.0,1.0,3.0,0.0
TCGA-38-4632-01A-01D-1751-02_MN_11A-01D-1751,1.0,1.0,0.0,1.0
TCGA-41-5651-01A-01D-1696-08_MN_10A-01D-1696,0.0,0.0,0.0,1.0
TCGA-43-3394-01A-01D-1553-08_MN_11A-01D-1553,0.0,1.0,4.0,2.0
TCGA-43-3920-01A-01D-1553-08_MN_11B-01D-1553,0.0,0.0,4.0,0.0
TCGA-43-5670-01A-21D-A320-08_MN_10A-01D-A320,1.0,1.0,1.0,1.0
TCGA-44-2659-01A-01D-1931-08_MN_10A-01D-1931,0.0,0.0,1.0,0.0
TCGA-44-2661-01A-01D-1103-02_MN_10A-01D-1103,0.0,0.0,1.0,0.0
TCGA-44-3917-01A-01D-A46W-08_MN_10A-01D-A46W,0.0,1.0,1.0,0.0
TCGA-44-3917-01B-02D-A46W-08_MN_10A-01D-A46W,0.0,3.0,0.0,0.0
TCGA-44-3918-01A-01D-1103-02_MN_10A-01D-A46W,0.0,1.0,1.0,0.0
TCGA-44-3918-01A-01D-1103-02_MN_11A-01D-1103,1.0,0.0,0.0,0.0
TCGA-44-3918-01A-01D-A46W-08_MN_10A-01D-A46W,0.0,0.0,1.0,0.0
TCGA-44-3918-01A-01D-A46W-08_MN_11A-01D-1103,0.0,0.0,1.0,0.0
TCGA-44-3918-01B-02D-A46W-08_MN_10A-01D-A46W,1.0,0.0,0.0,0.0
TCGA-44-3918-01B-02D-A46W-08_MN_11A-01D-1103,1.0,0.0,0.0,0.0
TCGA-44-3919-01A-02D-1103-02_MN_11A-01D-1103,0.0,0.0,5.0,0.0
TCGA-44-5645-01A-01D-1623-02_MN_10A-01D-1623,0.0,0.0,1.0,0.0
TCGA-44-5645-01A-01D-1623-02_MN_10A-01D-A46W,0.0,0.0,1.0,0.0
TCGA-44-5645-01A-01D-1623-02_MN_11A-01D-1623,0.0,0.0,2.0,0.0
TCGA-44-5645-01A-01D-A46W-08_MN_10A-01D-1623,0.0,0.0,2.0,0.0
TCGA-44-5645-01A-01D-A46W-08_MN_10A-01D-A46W,0.0,0.0,3.0,0.0
TCGA-44-5645-01A-01D-A46W-08_MN_11A-01D-1623,0.0,0.0,3.0,0.0
TCGA-44-5645-01B-04D-A46W-08_MN_10A-01D-1623,0.0,1.0,1.0,0.0
TCGA-44-5645-01B-04D-A46W-08_MN_10A-01D-A46W,0.0,1.0,3.0,0.0
TCGA-44-5645-01B-04D-A46W-08_MN_11A-01D-1623,0.0,2.0,0.0,0.0
TCGA-44-6774-01A-21D-1853-02_MN_11A-01D-1853,0.0,1.0,0.0,2.0
TCGA-44-6775-01C-02D-A46W-08_MN_10A-01D-1853,1.0,0.0,0.0,1.0
TCGA-44-6775-01C-02D-A46W-08_MN_10A-01D-A46W,1.0,0.0,0.0,1.0
TCGA-44-6775-01C-02D-A46W-08_MN_11A-01D-1853,1.0,0.0,0.0,1.0
TCGA-44-6778-01A-11D-1853-02_MN_10A-01D-1853,0.0,1.0,1.0,0.0
TCGA-44-6778-01A-11D-1853-02_MN_11A-01D-1853,0.0,1.0,1.0,0.0
TCGA-49-4486-01A-01D-1203-02_MN_11A-01D-1203,0.0,1.0,1.0,0.0
TCGA-49-4486-01A-01D-1203-02_MN_11A-01D-1931,0.0,1.0,1.0,0.0
TCGA-49-4486-01A-01D-1931-08_MN_11A-01D-1203,0.0,0.0,3.0,0.0
TCGA-49-4486-01A-01D-1931-08_MN_11A-01D-1931,0.0,0.0,3.0,0.0
TCGA-49-4488-01A-01D-1751-02_MN_11A-01D-1751,3.0,0.0,0.0,0.0
TCGA-49-4501-01A-01D-1203-02_MN_11A-01D-1203,0.0,2.0,0.0,0.0
TCGA-49-4505-01A-01D-1203-02_MN_11A-01D-1203,0.0,0.0,1.0,0.0
TCGA-49-4507-01A-01D-1203-02_MN_11A-01D-1203,1.0,0.0,1.0,0.0
TCGA-49-4510-01A-01D-1203-02_MN_11A-01D-1203,0.0,0.0,0.0,1.0
TCGA-49-4510-01A-01D-1203-02_MN_11A-01D-1931,0.0,0.0,0.0,1.0
TCGA-49-4510-01A-01D-1931-08_MN_11A-01D-1203,0.0,0.0,0.0,1.0
TCGA-49-4510-01A-01D-1931-08_MN_11A-01D-1931,0.0,0.0,0.0,1.0
TCGA-49-6745-01A-11D-1853-02_MN_11A-01D-1853,0.0,1.0,0.0,0.0
TCGA-49-6767-01A-11D-1853-02_MN_11A-01D-1853,0.0,0.0,0.0,1.0
TCGA-50-5066-01A-01D-1625-08_MN_10A-01D-1625,0.0,7.0,2.0,0.0
TCGA-50-5931-01A-11D-1751-02_MN_11A-01D-1751,0.0,0.0,3.0,0.0
TCGA-50-5935-01A-11D-1751-02_MN_11A-01D-1751,0.0,0.0,2.0,0.0
TCGA-50-5939-01A-11D-1623-02_MN_11A-01D-1623,1.0,0.0,0.0,0.0
TCGA-50-5941-01A-11D-1751-02_MN_10A-01D-1751,0.0,1.0,0.0,0.0
TCGA-50-5944-01A-11D-1751-02_MN_10A-01D-1751,0.0,0.0,1.0,1.0
TCGA-50-6591-01A-11D-1751-02_MN_11A-01D-1751,0.0,0.0,1.0,0.0
TCGA-50-6591-01A-11D-1751-02_MN_11A-01D-1753,0.0,0.0,1.0,0.0
TCGA-50-6591-01A-11D-1753-08_MN_11A-01D-1751,0.0,0.0,2.0,0.0
TCGA-50-6591-01A-11D-1753-08_MN_11A-01D-1753,0.0,0.0,3.0,0.0
TCGA-50-6592-01A-11D-1751-02_MN_11A-01D-1751,0.0,1.0,0.0,0.0
TCGA-50-6594-01A-11D-1751-02_MN_11A-01D-1751,1.0,0.0,2.0,0.0
TCGA-50-6597-01A-11D-1853-02_MN_10A-01D-1853,0.0,0.0,6.0,1.0
TCGA-50-6597-01A-11D-1853-02_MN_10A-01D-1855,0.0,0.0,3.0,1.0
TCGA-50-6597-01A-11D-1855-08_MN_10A-01D-1853,0.0,1.0,9.0,1.0
TCGA-50-6597-01A-11D-1855-08_MN_10A-01D-1855,0.0,1.0,8.0,1.0
TCGA-52-7812-01A-11D-A320-08_MN_10A-01D-A320,0.0,0.0,1.0,0.0
TCGA-55-1594-01A-01D-0969-08_MN_11A-01D-0969,1.0,1.0,3.0,0.0
TCGA-55-1596-01A-01D-0969-08_MN_11A-01D-0969,0.0,1.0,2.0,0.0
TCGA-55-6972-01A-11D-1945-08_MN_11A-01D-1945,0.0,0.0,1.0,0.0
TCGA-55-6982-01A-11D-1945-08_MN_11A-01D-1945,0.0,1.0,5.0,1.0
TCGA-55-6984-01A-11D-1945-08_MN_11A-01D-1945,0.0,0.0,1.0,0.0
TCGA-56-1622-01A-01D-1521-08_MN_11A-01D-1521,0.0,1.0,5.0,0.0
TCGA-60-2695-01A-01D-1180-08_MN_11A-01D-1180,0.0,0.0,0.0,1.0
TCGA-60-2698-01A-01D-1522-08_MN_11A-01D-1522,1.0,0.0,0.0,0.0
TCGA-60-2711-01A-01D-0963-08_MN_11A-01D-0963,0.0,1.0,2.0,2.0
TCGA-60-2713-01A-01D-1522-08_MN_11A-01D-1522,0.0,1.0,0.0,0.0
TCGA-60-2719-01A-01D-1522-08_MN_11A-01D-1522,0.0,0.0,1.0,0.0
TCGA-60-2722-01A-01D-1180-08_MN_11A-01D-1180,0.0,0.0,7.0,1.0
TCGA-60-2724-01A-01D-1522-08_MN_11A-01D-1522,0.0,0.0,2.0,0.0
TCGA-60-2726-01A-01D-1522-08_MN_11A-01D-1522,0.0,1.0,3.0,1.0
TCGA-61-2000-01A-01D-A324-10_MN_11A-01D-A324,0.0,1.0,9.0,10.0
TCGA-64-1678-01A-01D-1040-01_MN_10A-01D-1040,3.0,0.0,5.0,0.0
TCGA-64-5775-01A-01D-1623-02_MN_10A-01D-1623,1.0,1.0,3.0,0.0
TCGA-64-5778-01A-01D-1623-02_MN_10A-01D-1623,0.0,1.0,0.0,0.0
TCGA-64-5779-01A-01D-1623-02_MN_10A-01D-1623,0.0,1.0,0.0,0.0
TCGA-64-5815-01A-01D-1623-02_MN_10A-01D-1623,0.0,1.0,0.0,0.0
TCGA-66-2744-01A-01D-A320-08_MN_11A-01D-A320,2.0,1.0,3.0,1.0
TCGA-66-2756-01A-01D-1180-08_MN_11A-01D-1180,4.0,1.0,13.0,2.0
TCGA-66-2759-01A-01D-A320-08_MN_11A-01D-A320,2.0,0.0,3.0,1.0
TCGA-66-2766-01A-01D-1180-08_MN_11A-01D-1180,0.0,0.0,6.0,1.0
TCGA-66-2789-01A-01D-A320-08_MN_11A-01D-A320,0.0,0.0,0.0,1.0
TCGA-66-2793-01A-01D-1267-08_MN_11A-01D-1267,1.0,2.0,6.0,1.0
TCGA-66-2795-01A-02D-A320-08_MN_11A-01D-A320,1.0,0.0,2.0,1.0
TCGA-67-3771-01A-01D-0969-08_MN_10A-01D-0969,0.0,0.0,1.0,1.0
TCGA-67-6217-01A-11D-1751-02_MN_10A-01D-1751,0.0,0.0,0.0,1.0
TCGA-68-7755-01A-11D-A320-08_MN_10A-01D-A320,1.0,1.0,6.0,0.0
TCGA-68-8250-01A-11D-2293-08_MN_10A-01D-2293,1.0,0.0,0.0,0.0
TCGA-71-6725-01A-11D-1853-02_MN_10A-01D-1853,0.0,1.0,1.0,0.0
TCGA-73-4659-01A-01D-1203-02_MN_11A-01D-1931,0.0,0.0,2.0,0.0
TCGA-73-4662-01A-01D-1203-02_MN_11A-01D-1203,0.0,1.0,0.0,0.0
TCGA-73-4668-01A-01D-1203-02_MN_11A-01D-1203,0.0,1.0,1.0,1.0
TCGA-73-4676-01A-01D-1751-02_MN_11A-01D-1751,0.0,1.0,0.0,0.0
TCGA-73-4677-01A-01D-1203-02_MN_11A-01D-1203,0.0,0.0,0.0,1.0
TCGA-75-5126-01A-01D-1751-02_MN_10A-01D-1751,1.0,0.0,0.0,0.0
TCGA-75-5146-01A-01D-1623-02_MN_10A-01D-1623,0.0,1.0,2.0,0.0
TCGA-75-5147-01A-01D-1623-02_MN_10A-01D-1623,0.0,0.0,2.0,0.0
TCGA-75-5147-01A-01D-1623-02_MN_10A-01D-1625,0.0,0.0,38.0,0.0
TCGA-75-6205-01A-11D-1751-02_MN_10A-01D-1751,0.0,0.0,1.0,0.0
TCGA-77-6843-01A-11D-1945-08_MN_10A-01D-1945,0.0,1.0,4.0,0.0
TCGA-77-7139-01A-11D-A320-08_MN_10A-01D-A320,2.0,1.0,0.0,1.0
TCGA-78-7143-01A-11D-2036-08_MN_10A-01D-2036,0.0,0.0,1.0,1.0
TCGA-78-7146-01A-11D-2036-08_MN_10A-01D-2036,0.0,2.0,7.0,0.0
TCGA-85-8277-01A-11D-2293-08_MN_10A-01D-2293,1.0,1.0,3.0,2.0
TCGA-90-7767-01A-11D-A320-08_MN_10A-01D-A320,1.0,0.0,0.0,0.0
TCGA-91-6828-01A-11D-1853-02_MN_10A-01D-1853,0.0,1.0,0.0,0.0
TCGA-91-6831-01A-11D-1853-02_MN_11A-02D-1853,3.0,2.0,4.0,1.0
TCGA-91-6836-01A-21D-1853-02_MN_11A-01D-1853,1.0,1.0,1.0,1.0
TCGA-91-6840-01A-11D-1945-08_MN_10A-01D-1946,0.0,1.0,0.0,1.0
TCGA-91-6847-01A-11D-1945-08_MN_11A-01D-1945,1.0,1.0,3.0,1.0
TCGA-92-8064-01A-11D-2244-08_MN_10A-01D-2244,1.0,0.0,4.0,1.0
